year,price,power_kw,mileage_in_km,brand
2011,9900,103.0,119000.0,2
2011,9290,118.0,184574.0,2
2011,9499,77.0,114860.0,2
2011,11990,103.0,205013.0,2
2011,10900,150.0,192350.0,2
2011,8250,118.0,143000.0,2
2011,11900,125.0,291100.0,2
2011,12500,155.0,157000.0,2
2011,20999,155.0,159000.0,2
2011,18000,180.0,143000.0,2
2011,7200,155.0,128000.0,2
2011,17190,125.0,277000.0,2
2011,10980,199.0,133658.0,2
2011,9990,147.0,156937.0,2
2011,11000,77.0,159120.0,2
2011,6980,88.0,110000.0,2
2011,23500,105.0,322000.0,2
2011,9900,273.0,149817.0,2
2011,10200,105.0,125897.0,2
2011,10990,92.0,92000.0,2
2011,8600,63.0,59000.0,2
2011,14900,125.0,70304.0,2
2011,19500,199.0,104500.0,2
2011,7500,92.0,204000.0,2
2011,11900,90.0,80500.0,2
2011,10450,90.0,63900.0,2
2011,16690,92.0,41253.0,2
2011,7800,88.0,230000.0,2
2011,9000,88.0,159000.0,2
2011,8999,63.0,120000.0,2
2011,15290,125.0,78730.0,2
2011,9399,63.0,87000.0,2
2011,12490,140.0,199999.0,2
2011,7500,77.0,196000.0,2
2011,8990,77.0,187000.0,2
2011,6500,105.0,355352.0,2
2011,11890,77.0,85275.0,2
2011,7980,63.0,148400.0,2
2011,12220,77.0,123000.0,2
2011,18950,220.0,119000.0,2
2011,22990,180.0,87018.0,2
2011,12450,118.0,111950.0,2
2011,23899,220.0,91542.0,2
2011,6980,140.0,223828.0,2
2011,6980,77.0,181549.0,2
2011,7350,103.0,184000.0,2
2011,9500,140.0,140000.0,2
2011,9500,125.0,188000.0,2
2011,11990,103.0,79502.0,2
2011,11980,92.0,63000.0,2
2011,17900,180.0,190000.0,2
2011,11500,118.0,67000.0,2
2011,8999,77.0,189000.0,2
2011,6990,90.0,188200.0,2
2011,16800,180.0,230000.0,2
2011,7850,103.0,135500.0,2
2011,7990,118.0,199999.0,2
2011,7490,77.0,215000.0,2
2011,7800,63.0,119000.0,2
2011,6900,63.0,176000.0,2
2011,5490,63.0,248159.0,2
2011,9900,63.0,58000.0,2
2011,6370,100.0,384128.0,2
2011,7999,176.0,316600.0,2
2011,9999,77.0,91761.0,2
2011,16950,155.0,67930.0,2
2011,13000,120.0,175000.0,2
2011,22500,180.0,80000.0,2
2011,18490,180.0,210000.0,2
2011,9500,132.0,174800.0,2
2011,6990,118.0,104000.0,2
2011,13500,176.0,186000.0,2
2011,10499,140.0,229022.0,2
2011,10980,125.0,172000.0,2
2011,12999,176.0,199020.0,2
2011,10499,140.0,229022.0,2
2011,16500,220.0,235000.0,2
2011,13800,180.0,256000.0,2
2011,10900,88.0,136000.0,2
2011,17380,118.0,79411.0,2
2011,23000,220.0,150052.0,2
2011,7000,63.0,144817.0,2
2011,8900,66.0,183000.0,2
2011,19450,155.0,92500.0,2
2011,7980,90.0,167000.0,2
2011,9650,77.0,172550.0,2
2011,16000,132.0,115000.0,2
2011,7900,77.0,175000.0,2
2011,9999,63.0,84739.0,2
2011,11290,90.0,100000.0,2
2011,19000,258.0,243000.0,2
2011,7800,120.0,216000.0,2
2011,16880,88.0,20700.0,2
2011,10900,130.0,165000.0,2
2011,16999,245.0,156650.0,2
2011,9900,140.0,215024.0,2
2011,8500,118.0,142527.0,2
2011,11490,118.0,130000.0,2
2011,11490,103.0,114000.0,2
2011,11200,130.0,165000.0,2
2011,10990,103.0,167000.0,2
2011,9900,105.0,185000.0,2
2011,9290,88.0,157000.0,2
2011,18950,245.0,149541.0,2
2011,7699,176.0,237606.0,2
2011,12950,150.0,218370.0,2
2011,9990,103.0,188714.0,2
2011,12900,118.0,123000.0,2
2011,79990,316.0,25879.0,2
2011,12490,125.0,206847.0,2
2011,11700,150.0,237141.0,2
2011,9990,176.0,236252.0,2
2011,12489,140.0,168000.0,2
2011,29900,368.0,55501.0,2
2011,13999,125.0,118000.0,2
2011,6950,92.0,131000.0,2
2011,22900,176.0,130000.0,2
2011,14900,125.0,148452.0,2
2011,5200,140.0,300000.0,2
2011,10950,132.0,182000.0,2
2011,6980,118.0,188500.0,2
2011,9970,92.0,92840.0,2
2011,9900,176.0,231000.0,2
2011,124900,412.0,16857.0,2
2011,25600,180.0,155500.0,2
2011,11990,176.0,180800.0,2
2011,6500,103.0,194000.0,2
2011,11000,105.0,206000.0,2
2011,10200,118.0,151000.0,2
2011,16990,125.0,119046.0,2
2011,9590,176.0,300000.0,2
2011,16500,176.0,195000.0,2
2011,38990,250.0,46000.0,2
2011,19900,180.0,156018.0,2
2011,13949,140.0,85720.0,2
2011,6400,88.0,146000.0,2
2011,8990,77.0,159100.0,2
2011,15999,118.0,80000.0,2
2011,16990,180.0,166000.0,2
2011,9749,92.0,121544.0,2
2011,12000,220.0,190000.0,2
2011,7000,92.0,168500.0,2
2011,22900,220.0,92300.0,2
2011,12490,92.0,54500.0,2
2011,77900,386.0,112312.0,2
